group_id,title,kind,status,priority,latest_deadline,latest_schedule,messages,chases,conflicts,contested,confidence,related_message_ids,summary
GROUP_001,Family dinner,event,rescheduled,medium,,2026-10-06 10:00,12,0,0,False,0.97,MSG_0001 MSG_0043 MSG_0275 MSG_0435 MSG_0479 MSG_0603 MSG_0646 MSG_0697 MSG_0797 MSG_0845 MSG_0951 MSG_0958,Raised on 2026-09-01 by Meera; latest schedule 2026-10-06 at 10:00 (from MSG_0958); currently rescheduled.
GROUP_002,Review the privacy checklist,task,pending,critical,2026-09-30,,14,3,1,False,0.97,MSG_0002 MSG_0058 MSG_0215 MSG_0481 MSG_0487 MSG_0569 MSG_0578 MSG_0621 MSG_0653 MSG_0893 MSG_0901 MSG_0915 MSG_0921 MSG_0980,Raised on 2026-09-01 by Ishaan; the deadline changed 1 time(s) and now stands at 2026-09-30 (from MSG_0980); 9 original request(s) restated the subject with a different date; chased 3 time(s).
GROUP_003,Mentor catch-up,event,rescheduled,medium,,2026-10-05 14:00,12,0,0,False,0.97,MSG_0003 MSG_0122 MSG_0124 MSG_0135 MSG_0249 MSG_0294 MSG_0488 MSG_0719 MSG_0861 MSG_0866 MSG_0952 MSG_0969,Raised on 2026-09-01 by Kabir; latest schedule 2026-10-05 at 14:00 (from MSG_0969); 9 restatement(s) of earlier messages; currently rescheduled.
GROUP_004,Reply to the client email,task,pending,critical,2026-09-10,,16,6,0,False,0.97,MSG_0007 MSG_0287 MSG_0301 MSG_0365 MSG_0366 MSG_0418 MSG_0451 MSG_0779 MSG_0784 MSG_0853 MSG_0902 MSG_0922 MSG_0994 MSG_0997 MSG_1009 MSG_1012,Raised on 2026-09-01 by Ananya; deadline 2026-09-10 (from MSG_0853); 9 original request(s) restated the subject with a different date; chased 6 time(s).
GROUP_005,Pay the electricity bill,task,pending,high,2026-09-28,,13,2,1,False,0.97,MSG_0010 MSG_0265 MSG_0339 MSG_0536 MSG_0614 MSG_0620 MSG_0667 MSG_0743 MSG_0754 MSG_0809 MSG_0903 MSG_0923 MSG_0990,Raised on 2026-09-01 by Tara; the deadline changed 1 time(s) and now stands at 2026-09-28 (from MSG_0990); 9 original request(s) restated the subject with a different date; chased 2 time(s).
GROUP_006,Internship orientation,event,rescheduled,medium,,2026-10-07 17:30,15,0,1,False,0.97,MSG_0011 MSG_0034 MSG_0222 MSG_0255 MSG_0378 MSG_0430 MSG_0660 MSG_0683 MSG_0841 MSG_0847 MSG_0953 MSG_0955 DEMO_007 DEMO_009 DEMO_017,Raised on 2026-09-01 by Ishaan; latest schedule 2026-10-07 at 17:30 (from DEMO_009); currently rescheduled.
GROUP_007,Renew the library book,task,pending,critical,2026-09-30,,17,5,2,False,0.97,MSG_0017 MSG_0063 MSG_0072 MSG_0083 MSG_0178 MSG_0232 MSG_0515 MSG_0553 MSG_0638 MSG_0740 MSG_0904 MSG_0917 MSG_0919 MSG_0920 MSG_0924 MSG_0975 MSG_0986,Raised on 2026-09-01 by Vikram; the deadline changed 2 time(s) and now stands at 2026-09-30 (from MSG_0986); 9 original request(s) restated the subject with a different date; chased 5 time(s).
GROUP_008,Review the model results,task,completed,low,2026-09-30,,18,5,7,True,0.8578,MSG_0019 MSG_0111 MSG_0173 MSG_0175 MSG_0306 MSG_0425 MSG_0467 MSG_0537 MSG_0783 MSG_0883 MSG_0905 MSG_0925 MSG_0935 MSG_0973 MSG_0974 MSG_0998 MSG_1013 DEMO_005,"Raised on 2026-09-01 by Neha; the deadline changed 2 time(s) and now stands at 2026-09-30 (from MSG_0974); 9 original request(s) restated the subject with a different date; chased 5 time(s); reported complete in MSG_0935; the messages contradict each other, so the status is contested."
GROUP_009,Team stand-up,event,cancelled,low,,2026-10-02 13:00,12,0,0,False,0.97,MSG_0023 MSG_0129 MSG_0209 MSG_0458 MSG_0484 MSG_0584 MSG_0631 MSG_0744 MSG_0822 MSG_0871 MSG_0954 DEMO_008,Raised on 2026-09-01 by Rohan; latest schedule 2026-10-02 at 13:00 (from MSG_0954); cancelled in DEMO_008.
GROUP_010,Confirm the interview slot,task,pending,critical,2026-10-02,,18,3,3,False,0.97,MSG_0027 MSG_0171 MSG_0195 MSG_0220 MSG_0314 MSG_0335 MSG_0480 MSG_0527 MSG_0557 MSG_0617 MSG_0906 MSG_0926 MSG_0972 MSG_0976 MSG_0982 MSG_1002 DEMO_001 DEMO_016,"Raised on 2026-09-02 by Aarav; the deadline changed 2 time(s) and now stands at 2026-10-02 (from MSG_0976); the newest deadline was given only as ""tomorrow at 10:00"" in DEMO_001 and has not been resolved to a date; 9 original request(s) restated the subject with a different date; chased 3 time(s); 1 restatement(s) of earlier messages."
GROUP_011,Email the signed document,task,completed,low,2026-09-06,,17,5,2,True,0.88,MSG_0028 MSG_0065 MSG_0101 MSG_0309 MSG_0368 MSG_0394 MSG_0605 MSG_0799 MSG_0829 MSG_0862 MSG_0907 MSG_0918 MSG_0927 MSG_0933 MSG_1000 MSG_1015 DEMO_002,"Raised on 2026-09-02 by Kabir; deadline 2026-09-06 (from MSG_0862); 8 original request(s) restated the subject with a different date; chased 5 time(s); reported complete in MSG_0933; the messages contradict each other, so the status is contested."
