message_id,item_id,group_id,item_title,priority,confidence,score,group_status,group_latest_deadline,as_of,reason,signals
MSG_0001,EVENT_0001,GROUP_001,Family dinner,medium,0.7509,2.25,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-06 (MSG_0958) is one day after the most recent message; this subject is a meeting or event.,deadline_tomorrow category_meeting_event
MSG_0002,TASK_0001,GROUP_002,Review the privacy checklist,critical,0.82,5.1,pending,2026-09-30,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-30 (MSG_0980) passed 5 day(s) before the most recent message; the subject has been chased 3 times; the most recent traffic about this subject is an unanswered question. MSG_0980 pushed the deadline from 2026-09-03 back to 2026-09-30.,deadline_overdue deadline_moved_later chased_repeatedly response_required category_action_required
MSG_0003,EVENT_0002,GROUP_003,Mentor catch-up,medium,0.7509,2.65,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-05 (MSG_0969) is the day of the most recent message; this subject is a meeting or event.,deadline_today category_meeting_event
MSG_0007,TASK_0002,GROUP_004,Reply to the client email,critical,0.82,5.5,pending,2026-09-10,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-10 (MSG_0853) passed 25 day(s) before the most recent message; the subject has been chased 6 times; the most recent traffic about this subject is an unanswered question.,deadline_overdue chased_repeatedly response_required category_action_required
MSG_0010,TASK_0003,GROUP_005,Pay the electricity bill,high,0.82,4.1,pending,2026-09-28,2026-10-05 01:24:00,Assessed high: the deadline of 2026-09-28 (MSG_0990) passed 7 day(s) before the most recent message; the most recent traffic about this subject is an unanswered question; the subject has been chased 2 time(s). MSG_0990 pushed the deadline from 2026-09-07 back to 2026-09-28.,deadline_overdue deadline_moved_later chased_once response_required category_action_required
MSG_0011,EVENT_0003,GROUP_006,Internship orientation,medium,0.7509,1.65,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-07 (DEMO_009) is 2 days away; this subject is a meeting or event.,deadline_within_3_days category_meeting_event
MSG_0012,TASK_0004,,I will send the login details separately,low,0.451,0.4,,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0017,TASK_0005,GROUP_007,Renew the library book,critical,0.8892,8.5,pending,2026-09-30,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-30 (MSG_0986) passed 5 day(s) before the most recent message; at least one message about this subject uses explicit urgency wording; the subject has been chased 5 times.,deadline_overdue deadline_moved_earlier deadline_conflict explicit_urgency chased_repeatedly response_required category_action_required
MSG_0019,TASK_0006,GROUP_008,Review the model results,low,0.5659,-5.1,completed,2026-09-30,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0935 reports this complete.,status_completed status_contested chased_after_closure
MSG_0023,EVENT_0004,GROUP_009,Team stand-up,low,0.6817,-6.0,cancelled,,2026-10-05 01:24:00,Assessed low: DEMO_008 cancels this.,status_cancelled
MSG_0027,TASK_0007,GROUP_010,Confirm the interview slot,critical,0.8299,9.3,pending,2026-10-02,2026-10-05 01:24:00,"Assessed critical: the deadline of 2026-10-02 (MSG_0976) passed 3 day(s) before the most recent message; DEMO_001 states the deadline as ""tomorrow at 10:00""; it was not resolved to a date, so the proximity is taken from the wording; at least one message about this subject uses explicit urgency wording. MSG_0976 pushed the deadline from 2026-09-28 back to 2026-10-02.",deadline_relative_imminent deadline_overdue deadline_moved_later deadline_conflict explicit_urgency chased_repeatedly response_required category_action_required
MSG_0028,TASK_0008,GROUP_011,Email the signed document,low,0.5712,-5.1,completed,2026-09-06,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0933 reports this complete.,status_completed status_contested chased_after_closure
MSG_0031,TASK_0009,GROUP_012,Update the project tracker,low,0.5664,-5.1,cancelled,2026-10-06,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0942 cancels this.,status_cancelled status_contested chased_after_closure
MSG_0032,TASK_0010,GROUP_013,Upload the assignment,low,0.8117,1.4,pending,2026-10-20,2026-10-05 01:24:00,Assessed low: the subject has been chased 5 times; the most recent traffic about this subject is an unanswered question; this subject is work the recipient must do. the deadline of 2026-10-20 (DEMO_020) is 15 days away; DEMO_020 pushed the deadline from 2026-09-05 back to 2026-10-20.,deadline_beyond_7_days deadline_moved_later chased_repeatedly response_required category_action_required
MSG_0034,EVENT_0005,GROUP_006,Internship orientation,medium,0.7509,1.65,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-07 (DEMO_009) is 2 days away; this subject is a meeting or event.,deadline_within_3_days category_meeting_event
MSG_0035,TASK_0011,GROUP_014,Complete the onboarding form,critical,0.82,5.5,pending,2026-09-06,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-06 (MSG_0624) passed 29 day(s) before the most recent message; the subject has been chased 6 times; the most recent traffic about this subject is an unanswered question.,deadline_overdue chased_repeatedly response_required category_action_required
MSG_0036,EVENT_0006,GROUP_015,Study-group session,high,0.7509,3.45,rescheduled,,2026-10-05 01:24:00,Assessed high: the event of 2026-10-04 (MSG_0956) passed 1 day(s) before the most recent message; this subject is a meeting or event.,deadline_overdue category_meeting_event
MSG_0037,EVENT_0007,GROUP_016,Review,low,0.5952,0.05,pending,,2026-10-05 01:24:00,"Assessed low: this subject is a meeting or event. the only statements made about this subject are hedged (""could be""), so no firm status can be asserted.",status_unclear no_deadline category_meeting_event
MSG_0038,TASK_0012,GROUP_012,Update the project tracker,low,0.5664,-5.1,cancelled,2026-10-06,2026-10-05 01:24:00,Assessed low: the subject was chased after it was reported closed; the recorded messages disagree about this subject's state. MSG_0942 cancels this.,status_cancelled status_contested chased_after_closure
MSG_0039,TASK_0013,GROUP_017,Demo was ready,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0041,TASK_0014,GROUP_018,Review the file before the meeting,low,0.5434,0.4,pending,,2026-10-05 01:24:00,Assessed low: this subject is work the recipient must do.,no_deadline category_action_required
MSG_0042,EVENT_0008,GROUP_019,Client discussion,low,0.7509,0.95,rescheduled,,2026-10-05 01:24:00,Assessed low: the event of 2026-10-09 (MSG_0961) is 4 days away; this subject is a meeting or event.,deadline_within_7_days category_meeting_event
MSG_0043,EVENT_0009,GROUP_001,Family dinner,medium,0.7509,2.25,rescheduled,,2026-10-05 01:24:00,Assessed medium: the event of 2026-10-06 (MSG_0958) is one day after the most recent message; this subject is a meeting or event.,deadline_tomorrow category_meeting_event
MSG_0044,TASK_0015,GROUP_020,Complete the Python exercise,low,0.5046,-5.7,cancelled,2026-10-01,2026-10-05 01:24:00,Assessed low: the recorded messages disagree about this subject's state. MSG_0938 cancels this.,status_cancelled status_contested
MSG_0045,TASK_0016,GROUP_014,Complete the onboarding form,critical,0.82,5.5,pending,2026-09-06,2026-10-05 01:24:00,Assessed critical: the deadline of 2026-09-06 (MSG_0624) passed 29 day(s) before the most recent message; the subject has been chased 6 times; the most recent traffic about this subject is an unanswered question.,deadline_overdue chased_repeatedly response_required category_action_required
